"Scientific name","New","Common name","Clade","Taxon ID","Assembly name","Accession","Genome size (bps)","Annotation provider","Annotation method","Annotation","Genome","Homology","RNA Seq"
"Acropora digitifera","","Stony corals","Metazoa","70779","Adig_2.0","GCA_014634065.1","415828151","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora echinata","","Stony corals","Metazoa","513064","Aech_1.0","GCA_014634105.1","401478809","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora florida","","Stony corals","Metazoa","70782","Aflo_1.0","GCA_014634605.1","442824714","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora gemmifera","","Stony corals","Metazoa","70780","Agem_1.0","GCA_014634125.1","400993167","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora hyacinthus","","Stony corals","Metazoa","55974","Ahyacinthus.chrsV1","GCA_020536085.1","446425040","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora intermedia","","Stony corals","Metazoa","114500","Aint_1.0","GCA_014634585.1","416875905","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora microphthalma","","Stony corals","Metazoa","156436","Amic_1.0","GCA_014634165.1","383861656","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora millepora","","Stony coral (JS-1)","Metazoa","45264","Amil_v2.1","GCA_013753865.1","475381253","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora millepora","","Stony corals","Metazoa","45264","amil_sf_1.1","GCA_004143615.1","386599652","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora muricata","","Stony corals","Metazoa","159855","Amur_1.0","GCA_014634545.1","420731913","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora nasuta","","Stony corals","Metazoa","70778","Anas_1.0","GCA_014634205.1","416422065","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora palmata","","Elkhorn coral","Metazoa","6131","ASM2596083v1","GCA_025960835.1","304252072","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora selago","","Stony corals","Metazoa","165727","Asel_1.0","GCA_014634525.1","392938768","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora spathulata","","Stony corals","Metazoa","141011","jaAcrSpat14.1","GCA_964019555.1","486194993","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora tenuis","","Purple tipped acropora","Metazoa","70783","Aten_1.0","GCA_014633955.1","403138309","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora yongei","","Stony corals","Metazoa","117778","Ayon_1.0","GCA_014634225.1","438047505","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acrossocheilus fasciatus","NEW","Bony fishes","Fish","356809","ASM3678490v1","GCA_036784905.1","899146220","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acrossocheilus wenchowensis","","Bony fishes","Fish","1279364","ASM2962027v1","GCA_029620275.1","971306047","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Actinia equina","","Beadlet anemone (AE1)","Metazoa","6106","equina_smartden.arrow4.noredun","GCA_011057435.1","409058306","Liverpool John Moores University","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Actinia tenebrosa","","Australian red waratah sea anemone","Metazoa","6105","ASM960242v1","GCA_009602425.1","238200427","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Actinia tenebrosa","","Australian red waratah sea anemone","Metazoa","6105","QUT_ActTen_1.0","GCA_029948245.1","312758671","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acyrthosiphon pisum","","Pea aphid (AL4f)","Hemiptera","7029","pea_aphid_22Mar2018_4r6ur_v2","GCA_005508785.2","533649363","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Adalia bipunctata","","Two-spotted ladybird beetle","Coleoptera","7084","icAdaBipu1.1","GCA_910592335.1","475267023","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Adalia bipunctata","","Two-spotted ladybird beetle (alternate haplotype)","Coleoptera","7084","icAdaBipu1.1_alternate_haplotype","GCA_910591895.1","357820147","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Adalia decempunctata","","Beetles","Coleoptera","115343","icAdaDece3.1","GCA_951802165.1","489433454","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Adelges cooleyi","","Spruce gall adelgid (19-005CV)","Hemiptera","133065","UGA_ACOO_1.1","GCA_023614345.1","270197466","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Aelia acuminata","","Bugs","Hemiptera","1511221","ihAelAcum1.2","GCA_911387785.2","1169983176","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Aethina tumida","","Small hive beetle","Coleoptera","116153","icAetTumi1.1","GCA_024364675.1","259967705","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Aethina tumida","","Small hive beetle (alternate haplotype)","Coleoptera","116153","icAetTumi1.1_alternate_haplotype","GCA_024364635.1","207549811","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Aethina tumida","","Small hive beetle (Nest 87)","Coleoptera","116153","icAetTumi1.1","GCA_024364675.1","259984281","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agelaius phoeniceus","","Red-winged blackbird","Birds","39638","Agelaius_phoeniceus_1.1","GCA_020745825.3","1188547179","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Agelas oroides","","Sponges","Metazoa","72715","odAgeOroi1.1","GCA_949130485.1","260658830","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agelastica alni","","Beetles","Coleoptera","131577","icAgeAlni6.1","GCA_950111635.1","692269472","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agonopterix subpropinquella","","Moths","Lepidoptera","1857958","ilAgoSubp1.1","GCA_922987775.1","667889224","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agonopterix subpropinquella","","Moths (alternate haplotype)","Lepidoptera","1857958","ilAgoSubp1.1_alternate_haplotype","GCA_922987765.1","666958211","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrilus planipennis","","Emerald ash borer (EAB-ADULT)","Coleoptera","224129","Apla_2.0","GCA_000699045.2","353072773","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriopis aurantiaria","","Scarce umber moth (alternate haplotype)","Lepidoptera","104476","ilAgrAura1.1_alternate_haplotype","GCA_914767795.1","482878758","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriopis aurantiaria","","Scarce umber moth","Lepidoptera","104476","ilAgrAura1.1","GCA_914767915.1","485369969","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriopis leucophaearia","","Moths","Lepidoptera","934821","ilAgrLeuc1.1","GCA_949125355.1","491314972","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriopis leucophaearia","","Moths (alternate haplotype)","Lepidoptera","934821","ilAgrLeuc1.1_alternate_haplotype","GCA_949125385.1","489922914","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriopis marginaria","","Dotted border","Lepidoptera","190331","ilAgrMarg1.1","GCA_932305915.1","500879769","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriopis marginaria","","Dotted border (alternate haplotype)","Lepidoptera","190331","ilAgrMarg1.1_alternate_haplotype","GCA_932301435.1","502488742","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriotes lineatus","","Lined click beetle","Coleoptera","292458","PGI_AGRIOTES_LIN_V1","GCA_940337035.1","3159863714","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriphila geniculea","","Moths (alternate haplotype)","Lepidoptera","1660579","ilAgrGeni1.1_alternate_haplotype","GCA_943789515.1","723572193","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriphila geniculea","","Moths (alternate haplotype)","Lepidoptera","1660579","ilAgoAren1.1_alternate_haplotype","GCA_927400025.1","539623764","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriphila geniculea","","Moths","Lepidoptera","1660579","ilAgrGeni1.1","GCA_943789525.1","781638172","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriphila geniculea","","Moths","Lepidoptera","1660579","ilAgoAren1.1","GCA_927399405.1","545810559","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriphila straminella","","Moths (alternate haplotype)","Lepidoptera","572809","ilAgrStra1.1_alternate_haplotype","GCA_950109475.1","511839513","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriphila straminella","","Moths","Lepidoptera","572809","ilAgrStra1.1","GCA_950108535.1","511463620","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriphila tristella","","Moths (alternate haplotype)","Lepidoptera","1594226","ilAgrTris1.1_alternate_haplotype","GCA_928269205.1","806420820","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agriphila tristella","","Moths","Lepidoptera","1594226","ilAgrTris1.1","GCA_928269145.1","801760480","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrochola circellaris","","Moths (alternate haplotype)","Lepidoptera","987866","ilAgrCirc1.1_alternate_haplotype","GCA_914767685.1","571928833","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrochola circellaris","","Moths","Lepidoptera","987866","ilAgrCirc1.1","GCA_914767755.1","572147337","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrochola litura","","Moths","Lepidoptera","987869","ilAgrLitu1.1","GCA_949152395.1","772176219","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrochola lota","","Moths (alternate haplotype)","Lepidoptera","987870","ilAgrLota1.1_alternate_haplotype","GCA_947364295.1","623472971","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrochola lota","","Moths","Lepidoptera","987870","ilAgrLota1.1","GCA_947364205.1","636702707","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrochola macilenta","","Moths (alternate haplotype)","Lepidoptera","987872","ilAgrMaci1.1_alternate_haplotype","GCA_916701705.1","644112804","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrochola macilenta","","Moths","Lepidoptera","987872","ilAgrMaci1.1","GCA_916701695.1","683208122","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrostemma githago","","Corn cockle","Plants","39848","dcAgrGith1.1","GCA_958450325.1","1735037658","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrotis clavis","","Moths","Lepidoptera","997525","ilAgrClav1.1","GCA_954870645.1","751126655","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrotis exclamationis","","Heart and dart moth","Lepidoptera","215162","ilAgrExcl1.1","GCA_950005045.1","725057593","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrotis puta","","Moths","Lepidoptera","1857961","ilAgrPuta1.2","GCA_943136025.2","522118748","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrotis puta","","Moths (alternate haplotype)","Lepidoptera","1857961","ilAgrPuta1.2_alternate_haplotype","GCA_943137145.2","517468476","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrotis puta","","Moths (alternate haplotype)","Lepidoptera","1857961","ilAgrPuta1.1_alternate_haplotype","GCA_943137145.1","515943653","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrotis puta","","Moths","Lepidoptera","1857961","ilAgrPuta1.1","GCA_943136025.1","523306009","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrypnus murinus","","Beetles","Coleoptera","195168","icAgrMuri1.1","GCA_929113105.1","1578505632","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Agrypnus murinus","","Beetles (alternate haplotype)","Coleoptera","195168","icAgrMuri1.1_alternate_haplotype","GCA_929114945.1","1216220439","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Ailuropoda melanoleuca","","Giant panda","Mammals","9646","ASM200744v2","GCA_002007445.2","2444060653","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Ajuga chamaepitys","","Eudicots","Plants","49984","daAjuCham1.1","GCA_958295605.1","-","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Albula goreensis","","Bony fishes (Florida)","Fish","1534307","AGOR_1.0","GCA_022829145.1","-","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Alcis repandata","","Mottled beauty moth","Lepidoptera","174269","ilAlcRepa2.1","GCA_949125135.1","396357622","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Alectoris magna","","Przewalski's partridge (AM-B1)","Birds","40179","ASM3062506v1","GCA_030625065.1","1135030874","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Aleiodes testaceus","","Wasps, ants & bees","Hymenoptera","422171","iyAleTest2.1","GCA_963565655.1","110705161","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Alentia gelatinosa","","Segmented worms","Metazoa","271774","wpAleGela1.1","GCA_950022655.1","-","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Alligator mississippiensis","","American alligator","Reptiles","8496","rAllMis1","GCA_030867095.1","-","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Allophyes oxyacanthae","","Moths","Lepidoptera","988056","ilAllOxya1.1","GCA_932294325.1","458464223","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Allophyes oxyacanthae","","Moths (alternate haplotype)","Lepidoptera","988056","ilAllOxya1.1_alternate_haplotype","GCA_932294395.1","453482524","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Alosa alosa","","Allis shad (Scorff River)","Fish","278164","AALO_Geno_1.1","GCA_017589495.2","854464681","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Alosa sapidissima","","American shad","Fish","34773","fAloSap1.pri","GCA_018492685.1","903564947","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Alouatta palliata","","Mantled howler monkey","Primates","30589","AloPal_v1_BIUU","GCA_004027835.1","3033617595","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Alsophila aescularia","","Moths","Lepidoptera","104486","ilAlsAesc1.1","GCA_946251855.1","901596142","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Alsophila aescularia","","Moths (alternate haplotype)","Lepidoptera","104486","ilAlsAesc1.1_alternate_haplotype","GCA_946251895.1","897150441","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Altica lythri","NEW","Beetles","Coleoptera","346691","icAltLyth1.1","GCA_964028335.1","1003506841","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Amblyjoppa fuscipennis","","Wasps, ants & bees","Hymenoptera","2867249","iyAmbFusc1.1","GCA_963575735.1","278515835","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Amblyjoppa proteus","NEW","Wasps, ants & bees","Hymenoptera","1905387","iyAmbProt1.1","GCA_963922035.1","290107730","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Amblyraja radiata","","Thorny skate","Chordates","386614","sAmbRad1.pri","GCA_010909765.1","2558784953","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Amblyteles armatorius","","Wasps, ants, and bees","Hymenoptera","231887","iyAmbArma2.1","GCA_933228735.1","215770695","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Amblyteles armatorius","","Wasps, ants & bees","Hymenoptera","231887","iyAmbArma2.2","GCA_933228735.2","227071211","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Ameiurus melas","","Black bullhead","Fish","219545","AMELA_1.0","GCA_012411365.1","868496679","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Ammodytes marinus","","Lesser sand-eel","Fish","146480","fAmmMar1.1","GCA_949987685.1","777819083","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Amorpha juglandis","","Moths (alternate haplotype)","Lepidoptera","522887","ilAmoJugl1.1_alternate_haplotype","GCA_949126845.1","462288996","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Amorpha juglandis","","Moths","Lepidoptera","522887","ilAmoJugl1.1","GCA_949126905.1","463026988","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Amphibalanus amphitrite","","Acorn barnacle (SeventyFive)","Arthropods","1232801","NRLGWU_Aamphi_draft","GCA_019059575.1","807619925","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Amphiduros pacificus","","Segmented worms","Metazoa","1209993","wpAmpPaci1.1","GCA_949316495.1","694322451","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Amphilophus citrinellus","NEW","Midas cichlid","Fish","61819","ASM1343575v1","GCA_013435755.1","961230972","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
